r23_point,package_power,note,source
5348,10,5943*0.9,https://youtu.be/y3-4FgTmGIQ
7035,14,7817*0.9,
8366,17,9296*0.9,
10650,20
11400,23
12114,27
13610,30,,https://www.bilibili.com/video/BV1m3411d7uz
16104,43
18334,60
