r23_point,r23_package_power,note,source
5589,15,,https://www.bilibili.com/video/BV1Wi4y1e7NN
7992,20
9816,25
11217,30
12379,35
14393,45
15722,55
16944,65
18938,90,,https://youtu.be/2OnXqPm7gsQ
