r24_point,r23_point,package_power,note,source
460,8145,15,,https://www.bilibili.com/video/BV1Wi4y1e7NN
575,10184,20,,https://www.bilibili.com/video/BV1XC4y1Q7S9
660,11635,25
708,12450,28
735,12870,30
787,13864,35
855,14993,45
895,15862,55
918,16354,65
