r23_point,package_power,note,source
17241,35,,https://www.bilibili.com/video/BV1Hd4y1Z7Hb
22275,45,,
25862,55,,
28482,65,,
30551,75,,
32103,85,,
33137,95,,
33793,105,,
34379,115,,
34689,120,,
35344,128,,
