r24_point,r23_point,package_power,note,source
396,7000,15,,https://www.bilibili.com/video/BV1Wi4y1e7NN
513,9067,20,,
620,10960,25,,
704,12453,30,,
773,13680,35,,
832,14720,40,,
879,15547,45,,
912,16133,50,,
938,16586,55,,
966,17093,60,,
998,17653,65,,
