r24_point,r23_point,package_power,note,source
,5547,10,,https://www.bilibili.com/video/BV12H4y1c7z4/
,10683,15,,
,13077,20,,
,15313,25,,
984,17089,30,,
,18621,35,,
,19770,40,,
1134,20756,45,,
,21591,50,,
,22271,55,,
,22876,60,,
1203,23351,65,,
,23711,70,,
,23869,75,,
,24019,80,,
,24189,85,,
1232,24384,90,,
,24502,95,,
,24554,100,,
