r24_point,r23_point,package_power,note,source
350,5784,15,,https://www.bilibili.com/video/BV1Wi4y1e7NN
,7892,20,,https://www.bilibili.com/video/BV1XC4y1Q7S9
,9255,25,,
599,,28,,
,10276,30,,
,11265,35,,
760,12820,45,,
,13852,55,,
853,14612,65,,
