r23_point,package_power,note,source
5348,15,5943*0.9,https://youtu.be/y3-4FgTmGIQ
7035,20,7817*0.9,
8366,25,9296*0.9,
10650,30
11400,35
12114,40
13610,45,,https://www.bilibili.com/video/BV1m3411d7uz
16104,65
18334,90
