r24_point,r23_point,package_power,note,source
207,,4,,xbl
530,6500,9,guess,
860,11000,15,guess,
1262,,27,21571+5500,
,18382,30,24469+5500,
1696,,58,51863+6000,
,24041,60,54346+6000,
