r24_point,r23_point,package_power,note,source
730,,25,guess,https://www.bilibili.com/video/BV1Hd4y1Z7Hb
,17241,35,,
1359,22275,45,,
,25862,55,,
1564,28482,65,,
,30551,75,,
,32103,85,,
1779,,90,,
,33137,95,,
,33793,105,,
1875,34379,115,,
